transcript_section,day,time,section,preferred_name,formal_name,transcript_name,student_id
23.24,Thurs,6:30PM,24,Conor Healy,Conor Healy,Conor Healy,9990000025
23.24,Thurs,6:30PM,NA,Dr. Melissa Ko,Dr. Melissa Ko,Dr. Melissa Ko,NA
23.24,NA,NA,24,John Fielding,John Fielding,NA,9990000024
23.24,NA,NA,24,Khalilah Beal-Uribe,Khalilah Beal-Uribe,NA,9990000023
23.24,NA,NA,24,Melissa Ko,Melissa Ko,NA,9990000019
23.24,Thurs,6:30PM,24,Ryan Sloan,Ryan Sloan,Ryan Sloan,9990000020
23.24,Thurs,6:30PM,24,Shreeharsh Kelkar,Shreeharsh Kelkar,Shreeharsh Kelkar,9990000021
23.24,Thurs,6:30PM,24,Srijani Ghosh,Srijani Ghosh,Srijani Ghosh,9990000022
23.24,Thurs,6:30PM,NA,dead_air,dead_air,dead_air,NA
23.24,Thurs,6:30PM,NA,unknown,unknown,unknown,NA
